judul,tipe,kota,harga,harga_raw,lokasi,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,sumber,carport,url,tanggal_scrape
Rumah Sewa Samarinda dengan Parkir Luas dan Kt Banyak,rumah-sewa,samarinda,Rp 150 Juta /tahun,150000000,"Samarinda Kunjang, Samarinda",Samarinda Kunjang,1666 m²,500 m²,10 + 2,5 + 1,rumah123,2 + 10,https://www.rumah123.com/properti/samarinda-samarinda-kunjang/rumah-sewa-samarinda-dengan-parkir-luas-dan-kt-banyak-hor40794240/,03-22-26
Rumah Disewakan dengan Harga Terjangkau di Komplek Perumahan Elit,rumah-sewa,samarinda,Rp 32 Juta /tahun,32000000,"Samarinda Utara, Samarinda",Samarinda Utara,72 m²,55 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-disewakan-dengan-harga-terjangkau-di-komplek-perumahan-elit-hor40739024/,03-22-26
RUMAH SEWA UNTUK KANTOR DIPERUMAHAN PEMANDANGAN INDAH SAMARINDA  0514,rumah-sewa,samarinda,Rp 115 Juta /tahun,115000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,1000 m²,480 m²,5 + 1,4,rumah123,2 + 2,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-untuk-kantor-diperumahan-pemandangan-indah-samarinda-0514-hor40018926/,03-22-26
Rumah dengan Perabot Siap Huni di Dalam Perumahan Samarinda,rumah-sewa,samarinda,Rp 120 Juta /tahun,120000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,260 m²,250 m²,3 + 1,3 + 1,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-dengan-perabot-siap-huni-di-dalam-perumahan-samarinda-hor40369631/,03-22-26
Rumah Sewa Cocok Untuk Kantor Samarinda Ulu 1267,rumah-sewa,samarinda,Rp 48 Juta /tahun,48000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,225 m²,180 m²,4,3,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-cocok-untuk-kantor-samarinda-ulu-1267-hor40021841/,03-22-26
Rumah Sewa Cocok Kantor Samarinda Ulu 3228,rumah-sewa,samarinda,Rp 150 Juta /tahun,150000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,430 m²,500 m²,6,3,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-cocok-kantor-samarinda-ulu-3228-hor40021845/,03-22-26
Rumah Sewa Khusus Kantor Pinggir Jalan Besar,rumah-sewa,samarinda,Rp 400 Juta /tahun,400000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,2000 m²,800 m²,7,7,rumah123,3 + 8,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-khusus-kantor-pinggir-jalan-besar-hor40021840/,03-22-26
Rumah Sewa Cocok untuk Kantor di Perumahan Elit Samarinda Ulu 4849,rumah-sewa,samarinda,Rp 80 Juta /tahun,80000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,177 m²,177 m²,4,4,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-cocok-untuk-kantor-di-perumahan-elit-samarinda-ulu-4849-hor40021859/,03-22-26
Rumah Sewa Lingkungan Tenang Bebas Banjir Samarinda Ulu 0957,rumah-sewa,samarinda,Rp 35 Juta /tahun,35000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,180 m²,90 m²,2,2,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-lingkungan-tenang-bebas-banjir-samarinda-ulu-0957-hor40018766/,03-22-26
Rumah Sewa Cocok Kantor Samarinda Seberang 1456,rumah-sewa,samarinda,Rp 45 Juta /tahun,45000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,200 m²,117 m²,3,3,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/rumah-sewa-cocok-kantor-samarinda-seberang-1456-hor40018761/,03-22-26
Rumah Sewa Siap Pakai Diperumahan Tenang Samarinda Sungai Kunjang 0805,rumah-sewa,samarinda,Rp 37 Juta /tahun,37000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,200 m²,180 m²,4,2,rumah123,2,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-siap-pakai-diperumahan-tenang-samarinda-sungai-kunjang-0805-hor40018777/,03-22-26
Rumah Sewa Di Perumahan Eksklusive Samarinda Sungai Kunjang 0704,rumah-sewa,samarinda,Rp 52 Juta /tahun,52000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,120 m²,80 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-di-perumahan-eksklusive-samarinda-sungai-kunjang-0704-hor40018774/,03-22-26
Rumah Sewa Baru Siap Huni Dalam Perumahan 8177,rumah-sewa,samarinda,Rp 70 Juta /tahun,70000000,"Samarinda Utara, Samarinda",Samarinda Utara,90 m²,180 m²,3,3,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-sewa-baru-siap-huni-dalam-perumahan-8177-hor40018770/,03-22-26
Rumah Sewa Cocok Kantor Mess Karyawan Samarinda Sambutan 4555,rumah-sewa,samarinda,Rp 70 Juta /tahun,70000000,"Sambutan, Samarinda",Sambutan,650 m²,500 m²,5,4,rumah123,,https://www.rumah123.com/properti/samarinda-sambutan/rumah-sewa-cocok-kantor-mess-karyawan-samarinda-sambutan-4555-hor40018767/,03-22-26
Rumah Sewa Cocok Kantor Di Perumahan Tenang Samarinda Seberang 8732,rumah-sewa,samarinda,Rp 85 Juta /tahun,85000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,391 m²,200 m²,4,5,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/rumah-sewa-cocok-kantor-di-perumahan-tenang-samarinda-seberang-8732-hor40018768/,03-22-26
Rumah Sewa Siap Huni Samarinda Sungai Kunjang 5600,rumah-sewa,samarinda,Rp 35 Juta /tahun,35000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,150 m²,75 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-siap-huni-samarinda-sungai-kunjang-5600-hor40018789/,03-22-26
Rumah Sewa Diperumahan Tenang Samarinda Sungai Kunjang 5622,rumah-sewa,samarinda,Rp 40 Juta /tahun,40000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,180 m²,70 m²,3,2,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-diperumahan-tenang-samarinda-sungai-kunjang-5622-hor40018778/,03-22-26
Rumah Sewa Cocok Kantor Siap Huni Samarinda Ulu 9663,rumah-sewa,samarinda,Rp 40 Juta /tahun,40000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,180 m²,70 m²,3,2,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-cocok-kantor-siap-huni-samarinda-ulu-9663-hor40018779/,03-22-26
Rumah Sewa Minimalis Khusus Keluarga Samarinda Sungai Kunjang 3831,rumah-sewa,samarinda,Rp 35 Juta /tahun,35000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,105 m²,84 m²,3,1,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-minimalis-khusus-keluarga-samarinda-sungai-kunjang-3831-hor40018801/,03-22-26
Rumah Sewa Ada Kolam Renang Samarinda Ulu 5839,rumah-sewa,samarinda,Rp 65 Juta /tahun,65000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,460 m²,120 m²,2,1,rumah123,3,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-ada-kolam-renang-samarinda-ulu-5839-hor40018799/,03-22-26
Rumah Sewa Furnish Cocok Kantor Samarinda Ulu 0060,rumah-sewa,samarinda,Rp 57 Juta /tahun,57000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,220 m²,130 m²,2,2,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-furnish-cocok-kantor-samarinda-ulu-0060-hor40018793/,03-22-26
Rumah Nyaman Di Perumahan Tenang Ekslusive Samarinda Sungai Kunjang,rumah-sewa,samarinda,Rp 72 Juta /tahun,72000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,399 m²,120 m²,3,2 + 1,rumah123,2,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-nyaman-di-perumahan-tenang-ekslusive-samarinda-sungai-kunjang-hor40018803/,03-22-26
Rumah Sewa Cocok Kantor Mediterania Samarinda Ulu,rumah-sewa,samarinda,Rp 100 Juta /tahun,100000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,150 m²,90 m²,3,2,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-cocok-kantor-mediterania-samarinda-ulu-hor40018806/,03-22-26
Rumah Sewa Full Furnished Samarinda Sungai Kunjang 0014,rumah-sewa,samarinda,Rp 50 Juta /tahun,50000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,108 m²,60 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-full-furnished-samarinda-sungai-kunjang-0014-hor40018819/,03-22-26
Rumah Sewa Cocok Kantor Pinggir Jalan Sungai Kunjang 6722,rumah-sewa,samarinda,Rp 95 Juta /tahun,95000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,200 m²,150 m²,5,3,rumah123,3,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-cocok-kantor-pinggir-jalan-sungai-kunjang-6722-hor40018826/,03-22-26
Rumah Sewa Minimalis Samarinda Sungai Kunjang 3699,rumah-sewa,samarinda,Rp 32 Juta /tahun,32000000,"Samarinda Kunjang, Samarinda",Samarinda Kunjang,120 m²,60 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-kunjang/rumah-sewa-minimalis-samarinda-sungai-kunjang-3699-hor40018833/,03-22-26
Rumah Sewa Jual Siap Huni Perumahan Tenang Samarinda Sungai Kunjang 1632,rumah-sewa,samarinda,Rp 36 Juta /tahun,36000000,"Samarinda Kunjang, Samarinda",Samarinda Kunjang,120 m²,90 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-kunjang/rumah-sewa-jual-siap-huni-perumahan-tenang-samarinda-sungai-kunjang-1632-hor40018832/,03-22-26
Rumah Sewa Furnish Siap Pakai Samarinda Ulu 7191,rumah-sewa,samarinda,Rp 35 Juta /tahun,35000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,160 m²,72 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-furnish-siap-pakai-samarinda-ulu-7191-hor40018830/,03-22-26
