judul,tipe,kota,harga,harga_raw,lokasi,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,sumber,carport,url,tanggal_scrape
Masone,rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,,,,,,,rumah123,,https://www.rumah123.com/perumahan-baru/properti/samarinda/citraland-city-samarinda/nps2276/,03-22-26
Avella,rumah-jual,samarinda,Rp 740 Juta,740000000,,,,,,,rumah123,,https://www.rumah123.com/perumahan-baru/properti/samarinda/citragrand-senyiur-city-samarinda/nps2265/,03-22-26
Siap Huni Rumah Modern Minimalis dengan 2 Kamar di Samarinda,rumah-jual,samarinda,Rp 550 Juta,550000000,"Samarinda Kota, Samarinda",Samarinda Kota,90 m²,36 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-kota/siap-huni-rumah-modern-minimalis-dengan-2-kamar-di-samarinda-hos41119338/,03-22-26
Dijual Rumah 2Lt di Perum Grand Mahakam Residence Samarinda Kaltim,rumah-jual,samarinda,"Rp 2,8 Miliar",2800000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,135 m²,180 m²,4,3,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/dijual-rumah-2lt-di-perum-grand-mahakam-residence-samarinda-kaltim-hos41238474/,03-22-26
Dijual Rumah 4Kt Grand Mahakam Butuh Uang Cepat,rumah-jual,samarinda,"Rp 2,75 Miliar",2750000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,135 m²,180 m²,4 + 1,3 + 1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/dijual-rumah-4kt-grand-mahakam-butuh-uang-cepat-hos41237016/,03-22-26
For Sale Rumah 2 Kamar Tidur Kondisi Bagus Modern Minimalis di Dalam Cluster Samarinda,rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Sungai Pinang, Samarinda",Sungai Pinang,126 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-sungai-pinang/for-sale-rumah-2-kamar-tidur-kondisi-bagus-modern-minimalis-di-dalam-cluster-samarinda-hos41131254/,03-22-26
Siap Huni Rumah Elegan Modern 2 Kamar dengan Kondisi Baru di Samarinda,rumah-jual,samarinda,Rp 750 Juta,750000000,"Loa Janan Ilir, Samarinda",Loa Janan Ilir,108 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-loa-janan-ilir/siap-huni-rumah-elegan-modern-2-kamar-dengan-kondisi-baru-di-samarinda-hos41119486/,03-22-26
Siap Huni Rumah Cantik 2 Lantai Free Canopy di Samarinda,rumah-jual,samarinda,Rp 900 Juta,900000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,72 m²,55 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/siap-huni-rumah-cantik-2-lantai-free-canopy-di-samarinda-hos41138555/,03-22-26
"For Sale Rumah Modern Minimalis 2 Kamar di Samarinda, Free Canopy",rumah-jual,samarinda,Rp 550 Juta,550000000,"Samarinda Utara, Samarinda",Samarinda Utara,90 m²,36 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-utara/for-sale-rumah-modern-minimalis-2-kamar-di-samarinda-free-canopy-hos41121158/,03-22-26
"Siap Huni Rumah Modern 2 Kamar New Condi di Samarinda, Strategis Fasilitas Komplit",rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Samarinda Utara, Samarinda",Samarinda Utara,126 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-utara/siap-huni-rumah-modern-2-kamar-new-condi-di-samarinda-strategis-fasilitas-komplit-hos41131445/,03-22-26
For Sale Rumah Modern 2 Kamar Strategis Dalam Perumahan di Samarinda,rumah-jual,samarinda,Rp 550 Juta,550000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,90 m²,36 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/for-sale-rumah-modern-2-kamar-strategis-dalam-perumahan-di-samarinda-hos41121114/,03-22-26
Siap Huni Rumah Elegan Modern dengan 2 Kamar & Fasilitas Komplit di Samarinda,rumah-jual,samarinda,Rp 750 Juta,750000000,"Samarinda Utara, Samarinda",Samarinda Utara,108 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-utara/siap-huni-rumah-elegan-modern-dengan-2-kamar-fasilitas-komplit-di-samarinda-hos41121765/,03-22-26
Siap Huni Rumah 2 Kamar Free Canopy Dalam Perumahan di Samarinda,rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Loa Janan Ilir, Samarinda",Loa Janan Ilir,126 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-loa-janan-ilir/siap-huni-rumah-2-kamar-free-canopy-dalam-perumahan-di-samarinda-hos41131285/,03-22-26
Rumah Cantik Modern Dijual Kondisi Baru di Samarinda,rumah-jual,samarinda,Rp 750 Juta,750000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,108 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-cantik-modern-dijual-kondisi-baru-di-samarinda-hos41108575/,03-22-26
"For Sale Rumah Modern 2 Kamar Kondisi Baru di Samarinda, Fasilitas Komplit Strategis",rumah-jual,samarinda,Rp 550 Juta,550000000,"Sungai Pinang, Samarinda",Sungai Pinang,90 m²,36 m²,,,rumah123,,https://www.rumah123.com/properti/samarinda-sungai-pinang/for-sale-rumah-modern-2-kamar-kondisi-baru-di-samarinda-fasilitas-komplit-strategis-hos41120184/,03-22-26
For Sale Rumah Baru 2 Lantai Under 1M di Samarinda,rumah-jual,samarinda,Rp 900 Juta,900000000,"Samarinda Utara, Samarinda",Samarinda Utara,72 m²,55 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-utara/for-sale-rumah-baru-2-lantai-under-1m-di-samarinda-hos41138561/,03-22-26
For Sale Rumah Modern 2 Kamar Kondisi Baru Free Canopy di Samarinda,rumah-jual,samarinda,Rp 750 Juta,750000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,108 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/for-sale-rumah-modern-2-kamar-kondisi-baru-free-canopy-di-samarinda-hos41121656/,03-22-26
"Rumah Baru 2 Kamar dengan Fasilitas Lengkap Dijual di Samarinda, Dekat Tempat Wisata",rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,126 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/rumah-baru-2-kamar-dengan-fasilitas-lengkap-dijual-di-samarinda-dekat-tempat-wisata-hos41131329/,03-22-26
"Rumah Baru Modern 2 Kamar Dijual di Samarinda, Sudah Free Canopy",rumah-jual,samarinda,Rp 550 Juta,550000000,"Loa Janan Ilir, Samarinda",Loa Janan Ilir,90 m²,36 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-loa-janan-ilir/rumah-baru-modern-2-kamar-dijual-di-samarinda-sudah-free-canopy-hos41121018/,03-22-26
For Sale Rumah Cantik Modern 2 Kamar Kondisi Baru di Samarinda,rumah-jual,samarinda,Rp 750 Juta,750000000,"Samarinda Kota, Samarinda",Samarinda Kota,108 m²,45 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-kota/for-sale-rumah-cantik-modern-2-kamar-kondisi-baru-di-samarinda-hos41121522/,03-22-26
"Rumah Mewah di Kawasan Elit - Grand Mahakam Residence, Jalan Siradj Salman, Samarinda Ulu",rumah-jual,samarinda,"Rp 2,8 Miliar",2800000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,135 m²,180 m²,4,3,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-mewah-di-kawasan-elit-grand-mahakam-residence-jalan-siradj-salman-samarinda-ulu-hos41269711/,03-22-26
"For Sale Rumah Baru Modern 2 Kamar di Samarinda, Fasilitas Komplit",rumah-jual,samarinda,Rp 900 Juta,900000000,"Loa Janan Ilir, Samarinda",Loa Janan Ilir,72 m²,55 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-loa-janan-ilir/for-sale-rumah-baru-modern-2-kamar-di-samarinda-fasilitas-komplit-hos41138544/,03-22-26
Jual Rumah 2 Lantai Kondisi Baru Harga Murah 900 Juta Saja,rumah-jual,samarinda,Rp 900 Juta,900000000,"Samarinda Kota, Samarinda",Samarinda Kota,72 m²,55 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-kota/jual-rumah-2-lantai-kondisi-baru-harga-murah-900-juta-saja-hos41108633/,03-22-26
Siap Huni Rumah 2 Lantai Kondisi Baru Harga Murah Under 1M di Samarinda,rumah-jual,samarinda,Rp 900 Juta,900000000,"Sungai Pinang, Samarinda",Sungai Pinang,72 m²,55 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-sungai-pinang/siap-huni-rumah-2-lantai-kondisi-baru-harga-murah-under-1m-di-samarinda-hos41136905/,03-22-26
Rumah Minimalis dengan Halaman Luas di Samarinda,rumah-jual,samarinda,Rp 325 Juta,325000000,"Samarinda Utara, Samarinda",Samarinda Utara,202 m²,29 m²,2,1,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-minimalis-dengan-halaman-luas-di-samarinda-hos41286482/,03-22-26
"Dijual Rumah Mewah Bertipe 2 Lantai , Posisi di Hook, Full Furnish, Tinggal Angkat Koper, Rumah Ini Sudah Siap Dihuni, Terletak di Tengah Kota Samarinda",rumah-jual,samarinda,"Rp 5,5 Miliar",5500000000,"Sungai Pinang, Samarinda",Sungai Pinang,287 m²,126 m²,4,3,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-pinang/dijual-rumah-mewah-bertipe-2-lantai-posisi-di-hook-full-furnish-tinggal-angkat-koper-rumah-ini-sudah-siap-dihuni-hos41263172/,03-22-26
"Dijual Rumah 2 Lantai, Terawat , Bebas Banjir , Lingkungan Tenang, Dekat dengan Pusat Kota Samarinda . Harga bisa Nego",rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Samarinda Utara, Samarinda",Samarinda Utara,120 m²,120 m²,4,3,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-utara/dijual-rumah-2-lantai-terawat-bebas-banjir-lingkungan-tenang-dekat-dengan-pusat-kota-samarinda-harga-bisa-nego-hos41263076/,03-22-26
Rumah Siap Huni di Kawasan Perumahan Elit; Lingkungan Tenang dan Nyaman,rumah-jual,samarinda,"Rp 2,3 Miliar",2300000000,"Sungai Pinang, Samarinda",Sungai Pinang,160 m²,90 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-pinang/rumah-siap-huni-di-kawasan-perumahan-elit-lingkungan-tenang-dan-nyaman-hos41262886/,03-22-26
"Dijual Rumah Baru Pelita 7, Sambutan, Harga Nego",rumah-jual,samarinda,Rp 345 Juta,345000000,"Sambutan, Samarinda",Sambutan,144 m²,45 m²,2,1,rumah123,1 + 2,https://www.rumah123.com/properti/samarinda-sambutan/dijual-rumah-baru-pelita-7-sambutan-harga-nego-hos40990590/,03-22-26
Rumah Siap Huni di Samarinda Seberang Dekat dengan Pasar dan Minimarket,rumah-jual,samarinda,"Rp 1,75 Miliar",1750000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,275 m²,190 m²,9,3,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-seberang/rumah-siap-huni-di-samarinda-seberang-dekat-dengan-pasar-dan-minimarket-hos40989389/,03-22-26
Rumah Siap Huni Citraland Samarinda,rumah-jual,samarinda,"Rp 1,6 Miliar",1600000000,"Samarinda Utara, Samarinda",Samarinda Utara,120 m²,96 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-siap-huni-citraland-samarinda-hos40989367/,03-22-26
"Rumah, 2 Lantai + Toko Jln. Juanda 7. Samarinda",rumah-jual,samarinda,Rp 900 Juta,900000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,210 m²,172 m²,5,2,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-2-lantai-toko-jln-juanda-7-samarinda-hos40765972/,03-22-26
"Rumah, 1 Lantai Jln. Rapak Indah, Puri Kencana, Samarinda",rumah-jual,samarinda,Rp 850 Juta,850000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,200 m²,120 m²,3,2,rumah123,2,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-1-lantai-jln-rapak-indah-puri-kencana-samarinda-hos40765693/,03-22-26
DIJUAL CEPAT RUMAH DI RAJAWALI DALAM SAMARINDA,rumah-jual,samarinda,Rp 4 Miliar,4000000000,"Sungai Pinang, Samarinda",Sungai Pinang,981 m²,269 m²,3,2,rumah123,,https://www.rumah123.com/properti/samarinda-sungai-pinang/dijual-cepat-rumah-di-rajawali-dalam-samarinda-hos39050040/,03-22-26
Rumah Nyaman Dan Murah Siap Huni Tengah Kota Samarinda,rumah-jual,samarinda,"Rp 3,6 Miliar",3600000000,"Samarinda Utara, Samarinda",Samarinda Utara,302 m²,300 m²,6,6,rumah123,2 + 2,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-nyaman-dan-murah-siap-huni-tengah-kota-samarinda-hos17604222/,03-22-26
Rumah Baru Siap Huni Di Jalan Abdul Wahab Sahranie,rumah-jual,samarinda,Rp 600 Juta,600000000,"Samarinda Utara, Samarinda",Samarinda Utara,72 m²,45 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-baru-siap-huni-di-jalan-abdul-wahab-sahranie-hos40464689/,03-22-26
RUMAH CANTIK SIAP HUNI FULL FURNISHED PERUM BUMI SEMPAJA,rumah-jual,samarinda,"Rp 2,1 Miliar",2100000000,"Samarinda Utara, Samarinda",Samarinda Utara,328 m²,220 m²,4 + 1,4 + 1,rumah123,2 + 2,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-cantik-siap-huni-full-furnished-perum-bumi-sempaja-hos19578095/,03-22-26
Dijual Rumah Sarang Walet Aktif Di Bengkuring Samarinda,rumah-jual,samarinda,"Rp 4,9 Miliar",4900000000,"Samarinda Utara, Samarinda",Samarinda Utara,200 m²,513 m²,2,1,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-utara/dijual-rumah-sarang-walet-aktif-di-bengkuring-samarinda-hos40307475/,03-22-26
JUAL RUMAH SAMARINDA KOTA P HIDAYATULLAH HITUNG TANAH,rumah-jual,samarinda,"Rp 23,5 Miliar",23500000000,"Samarinda Kota, Samarinda",Samarinda Kota,1004 m²,300 m²,3,2,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-kota/jual-rumah-samarinda-kota-p-hidayatullah-hitung-tanah-hos40307484/,03-22-26
"Rumah Minimalis , Cocok Untuk Keluarga Kecil. Cuma 10 Menit Ke Pusat Kota Samarinda , Bebas Banjir Dan 20 Menit Ke Bandara Samarinda",rumah-jual,samarinda,Rp 950 Juta,950000000,"Sungai Pinang, Samarinda",Sungai Pinang,108 m²,48 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-pinang/rumah-minimalis-cocok-untuk-keluarga-kecil-cuma-10-menit-ke-pusat-kota-samarinda-bebas-banjir-dan-20-menit-ke-bandara-hos40255537/,03-22-26
Rumah 2 Lantai Di Pusat Kota Samarinda. Kondisi Masih Bagus Dan Cocok Utk Keluarga Besar,rumah-jual,samarinda,"Rp 1,5 Miliar",1500000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,210 m²,200 m²,5,3,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-2-lantai-di-pusat-kota-samarinda-kondisi-masih-bagus-dan-cocok-utk-keluarga-besar-hos40255359/,03-22-26
"Rumah Bagus Furnished di Arisco sambutan, Samarinda",rumah-jual,samarinda,Rp 890 Juta,890000000,"Sambutan, Samarinda",Sambutan,135 m²,120 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda-sambutan/rumah-bagus-furnished-di-arisco-sambutan-samarinda-hos39279110/,03-22-26
Rumah Cantik Dekat Bigmall Dan Rsud Mois,rumah-jual,samarinda,"Rp 1,2 Miliar",1200000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,120 m²,200 m²,3,2,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-seberang/rumah-cantik-dekat-bigmall-dan-rsud-mois-hos40010095/,03-22-26
"Rumah 309 m2 di Di Grand Tamansari , Samarinda sebrang.",rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Loa Janan Ilir, Samarinda",Loa Janan Ilir,309 m²,150 m²,5,3,rumah123,2,https://www.rumah123.com/properti/samarinda-loa-janan-ilir/rumah-309-m2-di-di-grand-tamansari-samarinda-sebrang-hos39963692/,03-22-26
"Rumah Semi Furnished, Puri karang anyar, Blok A3, Samarinda",rumah-jual,samarinda,Rp 750 Juta,750000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,100 m²,60 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-semi-furnished-puri-karang-anyar-blok-a3-samarinda-hos39278522/,03-22-26
"Dijual Rumah full furnished jln hasan Basri, Samarinda",rumah-jual,samarinda,"Rp 3,4 Miliar",3400000000,"Sungai Pinang, Samarinda",Sungai Pinang,199 m²,280 m²,5,4,rumah123,2,https://www.rumah123.com/properti/samarinda-sungai-pinang/dijual-rumah-full-furnished-jln-hasan-basri-samarinda-hos39278636/,03-22-26
"Rumah Furnished SHM Sambutan, Samarinda",rumah-jual,samarinda,"Rp 1,3 Miliar",1300000000,"Sambutan, Samarinda",Sambutan,175 m²,123 m²,4,2,rumah123,1,https://www.rumah123.com/properti/samarinda-sambutan/rumah-furnished-shm-sambutan-samarinda-hos39278676/,03-22-26
"Rumah di Citraland, Cluster Orchad, Samarinda",rumah-jual,samarinda,"Rp 1,7 Miliar",1700000000,"Sungai Pinang, Samarinda",Sungai Pinang,128 m²,120 m²,3,2,rumah123,2,https://www.rumah123.com/properti/samarinda-sungai-pinang/rumah-di-citraland-cluster-orchad-samarinda-hos39271042/,03-22-26
Rumah SHM Jln Juanda 01. Samarinda Ulu,rumah-jual,samarinda,Rp 11 Miliar,11000000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,667 m²,300 m²,5,4,rumah123,1 + 2,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-shm-jln-juanda-01-samarinda-ulu-hos39270925/,03-22-26
"Rumah Pinggir Jln P Antasari, samarinda kota",rumah-jual,samarinda,Rp 13 Miliar,13000000000,"Samarinda Kota, Samarinda",Samarinda Kota,792 m²,400 m²,4,4,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-pinggir-jln-p-antasari-samarinda-kota-hos39790743/,03-22-26
Rumah 3 Lantai Yang Cocok Untuk Usaha Kos²an Di Tengah Kota Samarinda,rumah-jual,samarinda,"Rp 3,25 Miliar",3250000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,268 m²,561 m²,6,4,rumah123,4,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-3-lantai-yang-cocok-untuk-usaha-kosan-di-tengah-kota-samarinda-hos39457648/,03-22-26
"SAMARINDA, DIJUAL RUMAH PERUM. MAPLE VILLAGE, TANAH MERAH",rumah-jual,samarinda,Rp 520 Juta,520000000,"Samarinda Utara, Samarinda",Samarinda Utara,90 m²,90 m²,2,1,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-utara/samarinda-dijual-rumah-perum-maple-village-tanah-merah-hos39455407/,03-22-26
Rumah Asri Tenang & Tempat Usaha,rumah-jual,samarinda,Rp 10 Miliar,10000000000,"Samarinda Kota, Samarinda",Samarinda Kota,800 m²,270 m²,3,3,rumah123,2 + 7,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-asri-tenang-tempat-usaha-hos39397636/,03-22-26
Rumah Dalam Perumahan Di Kota,rumah-jual,samarinda,"Rp 1,5 Miliar",1500000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,300 m²,203 m²,4,3,rumah123,1 + 2,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-dalam-perumahan-di-kota-hos39397527/,03-22-26
RUMAH 2KAMAR DEKAT SCP. DEKAT JEMBATAN MAHKOTA,rumah-jual,samarinda,Rp 510 Juta,510000000,"Sungai Pinang, Samarinda",Sungai Pinang,110 m²,60 m²,2,1,rumah123,,https://www.rumah123.com/properti/samarinda-sungai-pinang/rumah-2kamar-dekat-scp-dekat-jembatan-mahkota-hos39289842/,03-22-26
"RUMAH BARU JADI LOKASI STRATEGIS, SIAP HUNI",rumah-jual,samarinda,Rp 680 Juta,680000000,"Samarinda Utara, Samarinda",Samarinda Utara,96 m²,48 m²,2,1,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-baru-jadi-lokasi-strategis-siap-huni-hos39289828/,03-22-26
Di jual rumah di samarinda dekat bandara,rumah-jual,samarinda,Rp 400 Juta,400000000,"Samarinda Kota, Samarinda",Samarinda Kota,84 m²,42 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-kota/di-jual-rumah-di-samarinda-dekat-bandara-hos17200085/,03-22-26
RUMAH TERMURAH SIAP HUNI DIPERUMAHAN ELIT SAMARINDA ULU 9662,rumah-jual,samarinda,Rp 750 Juta,750000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,100 m²,70 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda/hos17081162/,03-22-26
RUMAH NYAMAN PINGGIR JALAN UTAMA PROSPEK BISNIS SAMARINDA ULU 6825,rumah-jual,samarinda,"Rp 4,88 Miliar",4880000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,300 m²,300 m²,2,2,rumah123,1 + 2,https://www.rumah123.com/properti/samarinda/hos15279794/,03-22-26
Rumah di perum Samarinda sebrang,rumah-jual,samarinda,Rp 425 Juta,425000000,"Samarinda Seberang, Samarinda",Samarinda Seberang,144 m²,80 m²,4,2,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-seberang/rumah-di-perum-samarinda-sebrang-hos7852228/,03-22-26
Rumah di Perum asri di Sambutan Samarinda,rumah-jual,samarinda,Rp 900 Juta,900000000,"Sambutan, Samarinda",Sambutan,300 m²,360 m²,3 + 1,3 + 1,rumah123,,https://www.rumah123.com/properti/samarinda-sambutan/rumah-di-perum-asri-di-sambutan-samarinda-hos7692095/,03-22-26
Rumah Di Dekat Perum Citra Griya Samarinda,rumah-jual,samarinda,"Rp 1,1 Miliar",1100000000,"Samarinda Kunjang, Samarinda",Samarinda Kunjang,200 m²,150 m²,4,3,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-kunjang/rumah-di-dekat-perum-citra-griya-samarinda-hos1934540/,03-22-26
Rumah Jual Terbatas Sisa 3 Unit Villa Tamara Design Request 9662,rumah-jual,samarinda,"Rp 1,7 Miliar",1700000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,140 m²,150 m²,4,3,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-jual-terbatas-sisa-3-unit-villa-tamara-design-request-9662-hos41125823/,03-22-26
RUMAH  TEMPAT SYRATEGIS,rumah-jual,samarinda,"Rp 4,5 Miliar",4500000000,"Samarinda Kota, Samarinda",Samarinda Kota,132 m²,280 m²,1,1,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-tempat-syrategis-hos18637923/,03-22-26
2 RUMAH,rumah-jual,samarinda,Rp 950 Juta,950000000,"Samarinda Kota, Samarinda",Samarinda Kota,179 m²,179 m²,4,2,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-kota/2-rumah-hos18603058/,03-22-26
Rumah 2Lantai 4 Kamar Dekat Kampus Unmul,rumah-jual,samarinda,"Rp 1,4 Miliar",1400000000,"Samarinda Kota, Samarinda",Samarinda Kota,150 m²,150 m²,4,2,rumah123,3 + 1,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-2lantai-4-kamar-dekat-kampus-unmul-hos41040700/,03-22-26
Rumah 2Kamar 10Menit ke Bigmall,rumah-jual,samarinda,Rp 182 Juta,182000000,"Samarinda Kota, Samarinda",Samarinda Kota,98 m²,32 m²,2,1,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-2kamar-10menit-ke-bigmall-hos41037054/,03-22-26
Rumah 2Kamar Minimalis,rumah-jual,samarinda,Rp 380 Juta,380000000,"Samarinda Kota, Samarinda",Samarinda Kota,50 m²,45 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-2kamar-minimalis-hos41036919/,03-22-26
RUMAH TYPE 85 KPR M.SAID,rumah-jual,samarinda,Rp 785 Juta,785000000,"Samarinda Kunjang, Samarinda",Samarinda Kunjang,250 m²,85 m²,3,2,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-kunjang/rumah-type-85-kpr-msaid-hos39452245/,03-22-26
RUMAH 5 MENIT KE UNMUL,rumah-jual,samarinda,"Rp 1,5 Miliar",1500000000,"Samarinda Utara, Samarinda",Samarinda Utara,2602 m²,231 m²,5,3,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-5-menit-ke-unmul-hos39466537/,03-22-26
Rumah Baru Minimalis Perumahan Borneo Regency Samarinda Diskon 50 Jt,rumah-jual,samarinda,Rp 688 Juta,688000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,100 m²,54 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-baru-minimalis-perumahan-borneo-regency-samarinda-diskon-50-jt-hos17337524/,03-22-26
"Rumah Baru Murah di Samarinda, Lokasi Strategi di Tengah Kota",rumah-jual,samarinda,Rp 450 Juta,450000000,"Samarinda Kota, Samarinda",Samarinda Kota,100 m²,70 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-baru-murah-di-samarinda-lokasi-strategi-di-tengah-kota-hos40981294/,03-22-26
Rumah Minimalis Jual Cepat Mau Pindah Kota Samarinda Sungai Kunjang 3414,rumah-jual,samarinda,Rp 499 Juta,499000000,"Samarinda Kunjang, Samarinda",Samarinda Kunjang,100 m²,75 m²,1,2,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-kunjang/rumah-minimalis-jual-cepat-mau-pindah-kota-samarinda-sungai-kunjang-3414-hos40933675/,03-22-26
Rumah Arsitektur Victorian Ala Eropa Didalam Perumahan,rumah-jual,samarinda,"Rp 2,15 Miliar",2150000000,"Samarinda Kota, Samarinda",Samarinda Kota,180 m²,208 m²,4,4,rumah123,2 + 2,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-arsitektur-victorian-ala-eropa-didalam-perumahan-hos40880780/,03-22-26
Rumah Siap Huni di Komplek Perumahan dengan Harga Murah,rumah-jual,samarinda,Rp 600 Juta,600000000,"Samarinda Utara, Samarinda",Samarinda Utara,150 m²,100 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-siap-huni-di-komplek-perumahan-dengan-harga-murah-hos40762918/,03-22-26
"Rumah Dijual Murah , Bebas Banjir dan Sudah Siap Huni",rumah-jual,samarinda,Rp 400 Juta,400000000,"Samarinda Utara, Samarinda",Samarinda Utara,105 m²,45 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-dijual-murah-bebas-banjir-dan-sudah-siap-huni-hos40762488/,03-22-26
